Team,Result,For,Aga,Diff,HTf,HTa,,Opposition,Ground,Match Date
Italy,lost,0,9,-9,0,3,,v Spain,Barcelona,20-May-29
Italy,won,3,0,3,-,-,,v Spain,Milan,29-May-30
Italy,won,7,3,4,4,0,,v Czech Rep,Milan,12-Feb-33
Italy,won,12,3,9,6,3,,v Czech Rep,Prague,16-Apr-33
Italy,draw,5,5,0,-,-,,v Catalonia,Barcelona,14-Apr-34
Italy,won,7,0,7,3,0,,v Romania,Milan,26-Dec-34
Italy,won,5,3,2,5,0,,v Catalonia,Genova,24-Mar-35
Italy,lost,6,44,-38,0,15,,v France XV,Roma,22-Apr-35
Italy,lost,8,19,-11,8,13,,v Germany,Berlin,14-May-36
Italy,won,8,7,1,3,7,,v Romania,Berlin,17-May-36
Italy,lost,3,6,-3,0,3,,v Germany,Milan,01-Jan-37
Italy,draw,0,0,0,-,-,,v Romania,Bucharest,25-Apr-37
Italy,won,45,0,45,-,-,,v Belgium,Paris,10-Oct-37
Italy,won,9,7,2,6,0,,v Germany,Paris,14-Oct-37
Italy,lost,5,43,-38,5,17,,v France,Parc des Princes,17-Oct-37
Italy,lost,0,10,-10,-,-,,v Germany,Stuttgart,06-Mar-38
Italy,lost,3,12,-9,0,9,,v Germany,Milan,11-Feb-39
Italy,won,3,0,3,3,0,,v Romania,Rome,29-Apr-39
Italy,lost,0,3,-3,-,-,,v Romania,Bucharest,14-Apr-40
Italy,won,4,0,4,4,0,,v Germany,Stuttgart,05-May-40
Italy,won,22,3,19,8,0,,v Romania,Milan,02-May-42
Italy,lost,6,39,-33,0,20,,v France XV,Rovigo,28-Mar-48
Italy,won,17,0,17,5,0,,v Czech Rep,Parma,23-May-48
Italy,lost,0,27,-27,0,15,,v France XV,Marseille,27-Mar-49
Italy,lost,6,14,-8,6,6,,v Czech Rep,Prague,22-May-49
Italy,won,12,0,12,9,0,,v Spain,Roma,06-May-51
Italy,won,6,0,6,-,-,,v Spain,Barcelona,13-Apr-52
Italy,won,14,6,8,8,3,,v,Padova,27-Apr-52
Italy,lost,8,17,-9,5,3,,v France,Milan,17-May-52
Italy,lost,8,22,-14,3,11,,v France,Lyon,26-Apr-53
Italy,won,21,3,18,3,3,,v,Hanover,17-May-53
Italy,won,16,14,2,11,3,,v Romania,Bucharest,24-May-53
Italy,won,16,6,10,8,3,,v Spain,Naples,19-Apr-54
Italy,lost,12,39,-27,6,16,,v France,Rome,24-Apr-54
Italy,won,24,8,16,13,3,,v,Milan,13-Mar-55
Italy,lost,0,24,-24,0,14,,v France,Grenoble,10-Apr-55
Italy,won,8,0,8,-,-,,v Spain,Barcelona,18-Jul-55
Italy,lost,8,16,-8,0,3,,v France XV,Barcelona,21-Jul-55
Italy,won,17,6,11,6,0,,v Czech Rep,Roma,11-Dec-55
Italy,won,12,3,9,6,3,,v,Heidelburg,25-Mar-56
Italy,lost,3,16,-13,3,3,,v France,Padova,02-Apr-56
Italy,won,19,9,10,8,3,,v Czech Rep,Prague,29-Apr-56
Italy,lost,6,38,-32,6,10,,v France,Agen,21-Apr-57
Italy,won,8,0,8,8,0,,v,Milan,07-Dec-57
Italy,lost,3,11,-8,3,8,,v France,Naples,07-Apr-58
Italy,won,6,3,3,6,3,,v Romania,Catania,07-Dec-58
Italy,lost,0,22,-22,0,14,,v France,Nantes,29-Mar-59
Italy,won,11,5,6,3,5,,v,Hanover,10-Apr-60
Italy,lost,0,26,-26,0,18,,v France,Treviso,17-Apr-60
Italy,won,19,0,19,8,0,,v,Piacenza,15-Jan-61
Italy,lost,0,17,-17,0,6,,v France,Chambery,02-Apr-61
Italy,lost,3,6,-3,3,6,,v France,Brescia,22-Apr-62
Italy,won,13,11,2,8,8,,v,Berlin,27-May-62
Italy,lost,6,14,-8,3,0,,v Romania,Bucharest,10-Jun-62
Italy,lost,12,14,-2,3,6,,v France,Grenoble,14-Apr-63
Italy,won,17,3,14,11,0,,v,Bologna,22-Mar-64
Italy,lost,3,12,-9,0,6,,v France,Parma,29-Mar-64
Italy,lost,0,21,-21,0,10,,v France,Pau,18-Apr-65
Italy,won,11,0,11,6,0,,v Czech Rep,Livorno,08-Dec-65
Italy,lost,0,21,-21,0,11,,v France,Naples,09-Apr-66
Italy,draw,3,3,0,3,0,,v,Berlin,30-Oct-66
Italy,won,3,0,3,-,-,,v Romania,L'Aquila,06-Nov-66
Italy,lost,13,60,-47,3,34,,v France,Toulon,26-Mar-67
Italy,won,6,3,3,3,0,,v Portugal,Genova,07-May-67
Italy,lost,3,24,-21,0,16,,v Romania,Bucharest,14-May-67
Italy,won,17,3,14,0,3,,v Portugal,Lisbon,12-May-68
Italy,won,22,14,8,14,5,,v,Venice,03-Nov-68
Italy,won,22,3,19,3,3,,v Serbia & Mon,San Dona,29-Dec-68
Italy,won,17,0,17,12,0,,v Bulgaria,Sofia,02-Mar-69
Italy,won,12,5,7,3,0,,v Spain,L'Aquila,04-May-69
Italy,won,30,0,30,15,0,,v Belgium,Brussels,10-May-69
Italy,lost,8,22,-14,6,6,,v France XV,Catania,09-Nov-69
Italy,won,11,3,8,3,3,,v Czech Rep,Prague,26-Apr-70
Italy,won,17,9,8,11,9,,v Madagascar,Antananarive,24-May-70
Italy,won,9,6,3,3,3,,v Madagascar,Antananarive,31-May-70
Italy,lost,3,14,-11,-,-,,v Romania,Rovigo,25-Oct-70
Italy,lost,6,8,-2,3,3,,v Morocco,Naples,21-Feb-71
Italy,lost,13,37,-24,0,21,,v France XV,Nice,28-Feb-71
Italy,lost,6,32,-26,3,11,,v Romania,Bucharest,11-Apr-71
Italy,draw,0,0,0,-,-,,v Portugal,Padova,20-Feb-72
Italy,won,15,7,8,3,3,,v Portugal,Lisbon,02-Apr-72
Italy,lost,0,10,-10,0,3,,v Spain,Madrid,14-May-72
Italy,draw,6,6,0,6,6,,v Spain,Ivrea,21-May-72
Italy,won,13,12,1,9,6,,v Serbia & Mon,Aosta,26-Nov-72
Italy,lost,6,9,-3,6,0,,v Portugal,Coimbra,25-Feb-73
Italy,lost,6,32,-26,-,-,,v Platinum Leo,Potchefstroom,20-Jun-73
Italy,lost,12,25,-13,-,-,,v Border,East London,23-Jun-73
Italy,lost,12,31,-19,-,-,,v,Cradock,27-Jun-73
Italy,lost,3,23,-20,-,-,,v Natal Sharks,Durban,30-Jun-73
Italy,lost,12,39,-27,-,-,,v,Witbank,04-Jul-73
Italy,won,24,4,20,-,-,,v Leopards,Port Elizabeth,07-Jul-73
Italy,lost,11,12,-1,-,-,,v,Welkom,09-Jul-73
Italy,lost,24,28,-4,-,-,,v Xerox Lions,Johannesburg,11-Jul-73
Italy,draw,3,3,0,0,3,,v Czech Rep,Rovigo,04-Nov-73
Italy,won,25,7,18,13,4,,v Serbia & Mon,Zagreb,11-Nov-73
Italy,lost,21,59,-38,6,31,,v Australia XV,L'Aquila,21-Nov-73
Italy,won,11,3,8,7,0,,v Portugal,Lisbon,10-Feb-74
Italy,lost,12,28,-16,6,6,,v Middlesex,London,15-Mar-74
Italy,lost,7,16,-9,0,6,,v Sussex,Brighton,17-Mar-74
Italy,lost,6,30,-24,6,3,,v Oxfordshire,Oxford,20-Mar-74
Italy,won,16,10,6,12,0,,v,Rho,05-May-74
Italy,won,25,10,15,6,10,,v Leopards,Brescia,15-May-74
Italy,lost,9,16,-7,9,10,,v France XV,Rome,15-Feb-75
Italy,won,19,3,16,3,3,,v Spain,Madrid,06-Apr-75
Italy,draw,3,3,0,3,0,,v Romania,Bucharest,27-Apr-75
Italy,won,49,9,40,31,3,,v Czech Rep,Reggio di Calabria,10-May-75
Italy,lost,13,29,-16,3,16,,v England U23,Gosforth,13-Sep-75
Italy,won,28,13,15,16,4,,v Poland,Treviso,25-Oct-75
Italy,won,24,0,24,11,0,,v Netherlands,Apeldoorn,23-Nov-75
Italy,won,19,6,13,9,0,,v Spain,Madrid,20-Dec-75
Italy,lost,11,23,-12,11,6,,v France XV,Milan,07-Feb-76
Italy,won,13,12,1,4,0,,v Romania,Parma,24-Apr-76
Italy,won,25,3,22,11,3,,v Japan,Padova,21-Oct-76
Italy,lost,15,16,-1,9,10,,v Australia XV,Milan,04-Nov-76
Italy,won,17,4,13,9,4,,v Spain,Rome,27-Nov-76
Italy,lost,3,10,-7,3,7,,v France XV,Grenoble,06-Feb-77
Italy,lost,9,10,-1,6,6,,v Morocco,Casablanca,06-Mar-77
Italy,won,29,3,26,16,3,,v Poland,Catania,02-Apr-77
Italy,lost,0,69,-69,0,25,,v Romania,Bucharest,01-May-77
Italy,lost,6,12,-6,6,3,,v Poland,Warsaw,23-Oct-77
Italy,won,10,4,6,4,4,,v Czech Rep,Prague,29-Oct-77
Italy,draw,10,10,0,7,3,,v Romania,Reggio di Calabria,26-Nov-77
Italy,lost,3,10,-7,3,6,,v Spain,Madrid,17-Dec-77
Italy,lost,9,31,-22,3,17,,v France XV,L'Aquila,04-Feb-78
Italy,won,19,6,13,13,3,,v Argentina,Rovigo,24-Oct-78
Italy,lost,9,11,-2,0,7,,v,Rome,18-Nov-78
Italy,won,35,3,32,19,3,,v Spain,Treviso,17-Dec-78
Italy,lost,9,15,-6,9,9,,v France XV,Padova,18-Feb-79
Italy,won,18,3,15,6,3,,v Poland,L'Aquila,14-Apr-79
Italy,lost,0,44,-44,0,10,,v Romania,Bucharest,22-Apr-79
Italy,draw,6,6,0,6,6,,v England U23,Brescia,16-May-79
Italy,won,16,9,7,-,-,,v Spain,Makarska,18-Sep-79
Italy,won,10,7,3,10,3,,v Morocco,Makarska,20-Sep-79
Italy,lost,12,38,-26,-,-,,v France XV,Makarska,22-Sep-79
Italy,won,13,3,10,6,3,,v Poland,Sochacewz,30-Sep-79
Italy,lost,0,9,-9,0,3,,v,Moscow,28-Oct-79
Italy,lost,12,18,-6,6,15,,v NZ XV,Rovigo,28-Nov-79
Italy,won,34,6,28,10,3,,v Morocco,Benevento,22-Dec-79
Italy,lost,9,46,-37,0,28,,v France XV,Clermont-Ferrand,17-Feb-80
Italy,won,24,17,7,10,6,,v Romania,L'Aquila,13-Apr-80
Italy,lost,3,16,-13,0,12,,v Fiji,Suva,14-Jun-80
Italy,lost,13,30,-17,3,13,,v Junior ABs,Auckland,05-Jul-80
Italy,lost,6,15,-9,6,9,,v Cook Islands,Raratonga,06-Jul-80
Italy,won,37,12,25,21,0,,v Poland,Rovigo,05-Oct-80
Italy,lost,3,4,-1,3,4,,v,Rovigo,02-Nov-80
Italy,won,18,13,5,10,7,,v Spain,Madrid,21-Dec-80
Italy,lost,9,17,-8,3,3,,v France XV,Rovigo,08-Mar-81
Italy,lost,9,35,-26,9,13,,v Romania,Braila,12-Apr-81
Italy,draw,12,12,0,6,6,,v,Moscow,25-Oct-81
Italy,won,23,0,23,14,0,,v,Rovigo,29-Nov-81
Italy,lost,19,25,-6,4,15,,v France XV,Carcassonne,21-Feb-82
Italy,won,21,15,6,15,3,,v Romania,Rovigo,11-Apr-82
Italy,won,12,7,5,3,3,,v England U23,Padova,22-May-82
Italy,won,23,3,20,19,0,,v,Hanover,07-Nov-82
Italy,won,13,3,10,3,3,,v Morocco,Casablanca,19-Dec-82
Italy,draw,6,6,0,6,0,,v France XV,Rovigo,06-Feb-83
Italy,lost,6,13,-7,3,6,,v Romania,Buzau,10-Apr-83
Italy,won,12,10,2,9,10,,v,Catania,22-May-83
Italy,lost,13,19,-6,6,10,,v Canada,Burnaby Lake,25-Jun-83
Italy,won,37,9,28,10,9,,v Canada,Toronto,01-Jul-83
Italy,won,27,9,18,9,3,,v Spain,Casablanca,07-Sep-83
Italy,won,15,9,6,9,6,,v Morocco,Casablanca,10-Sep-83
Italy,lost,12,26,-14,6,12,,v France XV,Casablanca,13-Sep-83
Italy,lost,7,29,-22,3,13,,v Australia,Rovigo,22-Oct-83
Italy,lost,7,16,-9,0,12,,v,Kiev,30-Oct-83
Italy,lost,16,38,-22,3,12,,v France XV,Chalon-sur-Saone,19-Feb-84
Italy,won,27,0,27,9,0,,v Morocco,Piacenza,18-Mar-84
Italy,won,12,6,6,9,3,,v Romania,L'Aquila,22-Apr-84
Italy,won,20,6,14,3,3,,v Tunisia,Monastir,20-Oct-84
Italy,won,13,12,1,7,6,,v,L'Aquila,18-Nov-84
Italy,lost,9,22,-13,6,6,,v France XV,Treviso,03-Mar-85
Italy,lost,6,7,-1,3,3,,v Romania,Brasov,14-Apr-85
Italy,lost,9,21,-12,0,18,,v England B,Twickenham,17-Apr-85
Italy,won,22,13,9,6,6,,v Spain,Mantova,18-May-85
Italy,won,25,6,19,10,6,,v Zimbabwe,Bulawayo,22-Jun-85
Italy,won,12,10,2,6,4,,v Zimbabwe,Harare,30-Jun-85
Italy,lost,13,15,-2,9,0,,v,Moscow,10-Nov-85
Italy,won,19,3,16,9,3,,v Romania,L'Aquila,07-Dec-85
Italy,won,18,4,14,9,0,,v Tunisia,Rovigo,08-Feb-86
Italy,lost,0,18,-18,0,12,,v France XV,Annecy,15-Feb-86
Italy,won,26,24,2,20,6,,v Portugal,Jesi,13-Apr-86
Italy,draw,15,15,0,9,9,,v England XV,Rome,10-May-86
Italy,lost,18,39,-21,6,21,,v Australia,Brisbane,01-Jun-86
Italy,won,22,9,13,6,0,,v Tunisia,Menzel Bourghiba,18-Oct-86
Italy,lost,14,16,-2,4,6,,v,Genova,16-Nov-86
Italy,won,41,3,38,30,0,,v Portugal,Lisbon,18-Jan-87
Italy,lost,6,22,-16,3,12,,v France XV,Padova,22-Feb-87
Italy,lost,3,9,-6,0,9,,v Romania,Constanta,12-Apr-87
Italy,lost,6,70,-64,3,17,,v New Zealand,Auckland,22-May-87
Italy,lost,16,25,-9,3,10,,v Argentina,Christchurch,28-May-87
Italy,won,18,15,3,10,3,,v Fiji,Dunedin,31-May-87
Italy,lost,9,12,-3,6,9,,v,Kishinev,07-Nov-87
Italy,won,13,0,13,-,-,,v Spain,Barcelona,05-Dec-87
Italy,lost,9,19,-10,3,4,,v France XV,Monte Carlo,07-Feb-88
Italy,lost,3,12,-9,0,6,,v Romania,Milan,02-Apr-88
Italy,lost,12,18,-6,6,3,,v,Treviso,05-Nov-88
Italy,lost,6,55,-49,0,33,,v Australia,Rome,03-Dec-88
Italy,lost,15,31,-16,6,18,,v Ireland,Lansdowne Road,31-Dec-88
Italy,lost,12,40,-28,6,29,,v France XV,Brescia,19-Feb-89
Italy,lost,4,28,-24,0,18,,v Romania,Bucharest,15-Apr-89
Italy,won,33,19,14,13,0,,v Spain,L'Aquila,02-Jun-89
Italy,lost,16,21,-5,10,9,,v Argentina,Buenos Aires,24-Jun-89
Italy,won,33,9,24,17,9,,v Zimbabwe,Treviso,30-Sep-89
Italy,lost,12,15,-3,3,12,,v,Moscow,05-Nov-89
Italy,lost,12,22,-10,3,13,,v France XV,Albi,18-Feb-90
Italy,won,34,3,31,18,0,,v Poland,Naples,07-Apr-90
Italy,lost,9,16,-7,9,6,,v Romania,Frascati,14-Apr-90
Italy,won,30,6,24,9,3,,v Spain,Rovigo,30-Sep-90
Italy,won,24,11,13,0,7,,v Netherlands,Treviso,03-Oct-90
Italy,won,29,21,8,16,12,,v Romania,Padova,07-Oct-90
Italy,won,34,12,22,22,12,,v,Rovigo,24-Nov-90
Italy,lost,9,15,-6,0,12,,v France XV,Rome,02-Mar-91
Italy,won,21,18,3,9,6,,v Romania,Bucharest,21-Apr-91
Italy,lost,7,17,-10,0,10,,v Namibia,Windhoek,15-Jun-91
Italy,lost,19,33,-14,7,18,,v Namibia,Windhoek,22-Jun-91
Italy,won,30,9,21,9,3,,v USA,Otley,05-Oct-91
Italy,lost,6,36,-30,0,24,,v England,Twickenham,08-Oct-91
Italy,lost,21,31,-10,3,16,,v New Zealand,Leicester,13-Oct-91
Italy,won,21,3,18,9,3,,v,Moscow,03-Nov-91
Italy,won,22,21,1,18,0,,v Spain,Madrid,09-Feb-92
Italy,lost,18,21,-3,6,9,,v Fra Espoirs,Tarbes,16-Feb-92
Italy,won,39,13,26,21,7,,v Romania,Rovigo,18-Apr-92
Italy,won,22,3,19,8,0,,v Romania,Rome,01-Oct-92
Italy,lost,17,22,-5,9,9,,v Scotland A,Melrose,19-Dec-92
Italy,won,52,0,52,18,0,,v Spain,Madrid,14-Feb-93
Italy,lost,12,14,-2,6,6,,v France XV,Treviso,20-Feb-93
Italy,won,33,11,22,16,6,,v Portugal,Coimbra,17-Apr-93
Italy,won,76,11,65,36,0,,v Croatia,Perpignan,17-Jun-93
Italy,won,70,9,61,35,3,,v Morocco,Carcassonne,19-Jun-93
Italy,won,38,6,32,24,0,,v Spain,Perpignan,21-Jun-93
Italy,lost,6,31,-25,6,6,,v France XV,Beziers,25-Jun-93
Italy,won,30,19,11,20,6,,v Russia,Moscow,06-Nov-93
Italy,won,16,9,7,9,6,,v France XV,Treviso,11-Nov-93
Italy,won,18,15,3,9,9,,v Scotland A,Rovigo,18-Dec-93
Italy,won,62,15,47,20,10,,v Spain,Parma,07-May-94
Italy,lost,12,26,-14,9,12,,v Romania,Bucharest,14-May-94
Italy,won,104,8,96,71,0,,v Czech Rep,Viadana,18-May-94
Italy,won,63,9,54,35,3,,v Netherlands,Calvisano,21-May-94
Italy,lost,20,23,-3,11,10,,v Australia,Brisbane,18-Jun-94
Italy,lost,7,20,-13,0,15,,v Australia,Melbourne,25-Jun-94
Italy,won,24,6,18,15,6,,v Romania,Catania,01-Oct-94
Italy,lost,19,29,-10,10,15,,v Wales,Cardiff,12-Oct-94
Italy,lost,9,14,-5,9,8,,v France XV,Digione,04-Dec-94
Italy,lost,16,18,-2,3,8,,v Scotland A,Perth,07-Jan-95
Italy,won,22,12,10,9,12,,v Ireland,Treviso,06-May-95
Italy,lost,18,42,-24,11,12,,v Samoa,East London,27-May-95
Italy,lost,20,27,-7,10,16,,v England,Durban,31-May-95
Italy,won,31,25,6,12,12,,v Argentina,East London,04-Jun-95
Italy,lost,22,34,-12,16,10,,v France,Buenos Aires,14-Oct-95
Italy,lost,6,26,-20,3,11,,v Argentina,Tucuman,17-Oct-95
Italy,won,40,3,37,13,3,,v Romania,Buenos Aires,21-Oct-95
Italy,lost,6,70,-64,6,20,,v New Zealand,Bologna,28-Oct-95
Italy,lost,21,40,-19,6,17,,v South Africa,Rome,12-Nov-95
Italy,lost,26,31,-5,0,21,,v Wales,Cardiff,16-Jan-96
Italy,won,64,3,61,36,3,,v Portugal,Lisbon,02-Mar-96
Italy,lost,22,31,-9,9,20,,v Wales,Rome,05-Oct-96
Italy,lost,18,40,-22,8,13,,v Australia,Padova,23-Oct-96
Italy,lost,21,54,-33,0,28,,v England,Twickenham,23-Nov-96
Italy,lost,22,29,-7,12,8,,v Scotland,Murrayfield,14-Dec-96
Italy,won,37,29,8,17,18,,v Ireland,Lansdowne Road,04-Jan-97
Italy,won,40,32,8,20,13,,v France,Grenoble,22-Mar-97
Italy,lost,19,30,-11,9,17,,v France,Auch,18-Oct-97
Italy,draw,18,18,0,6,15,,v Argentina,Lourdes,22-Oct-97
Italy,won,55,32,23,23,18,,v Romania,Tarbes,26-Oct-97
Italy,lost,31,62,-31,20,22,,v South Africa,Bologna,08-Nov-97
Italy,won,37,22,15,9,9,,v Ireland,Bologna,20-Dec-97
Italy,won,25,21,4,9,18,,v Scotland,Treviso,24-Jan-98
Italy,lost,20,23,-3,3,9,,v Wales,Llanelli,07-Feb-98
Italy,won,48,18,30,20,6,,v Russia,Krasnoyarsk,18-Apr-98
Italy,won,23,19,4,17,3,,v Argentina,Piacenza,07-Nov-98
Italy,won,67,7,60,38,0,,v Netherlands,Huddersfield,18-Nov-98
Italy,lost,15,23,-8,6,16,,v England,Huddersfield,22-Nov-98
Italy,lost,24,49,-25,3,36,,v France XV,Genova,30-Jan-99
Italy,lost,12,30,-18,12,20,,v Scotland,Murrayfield,06-Mar-99
Italy,lost,21,60,-39,16,18,,v Wales,Treviso,20-Mar-99
Italy,lost,30,39,-9,23,11,,v Ireland,Lansdowne Road,10-Apr-99
Italy,lost,3,74,-71,3,22,,v South Africa,Port Elizabeth,12-Jun-99
Italy,lost,0,101,-101,0,40,,v South Africa,Durban,19-Jun-99
Italy,won,49,17,32,18,12,,v Uruguay,L'Aquila,22-Aug-99
Italy,won,42,11,31,28,0,,v Spain,L'Aquila,26-Aug-99
Italy,lost,32,50,-18,24,14,,v Fiji,L'Aquila,28-Aug-99
Italy,lost,7,67,-60,7,34,,v England,Twickenham,02-Oct-99
Italy,lost,25,28,-3,12,18,,v Tonga,Leicester,10-Oct-99
Italy,lost,3,101,-98,3,51,,v New Zealand,Huddersfield,14-Oct-99
Italy,won,34,20,14,12,10,,v Scotland,Rome,05-Feb-00
Italy,lost,16,47,-31,9,30,,v Wales,Millennium Stadium,19-Feb-00
Italy,lost,13,60,-47,0,33,,v Ireland,Lansdowne Road,04-Mar-00
Italy,lost,12,59,-47,7,23,,v England,Rome,18-Mar-00
Italy,lost,31,42,-11,17,20,,v France,Stade de France,01-Apr-00
Italy,lost,24,43,-19,7,20,,v Samoa,Apia,08-Jul-00
Italy,lost,9,43,-34,3,27,,v Fiji,Lautoka,15-Jul-00
Italy,lost,17,22,-5,9,12,,v Canada,Rovigo,11-Nov-00
Italy,won,37,17,20,15,3,,v Romania,Benevento,18-Nov-00
Italy,lost,19,56,-37,9,25,,v New Zealand,Genova,25-Nov-00
Italy,lost,22,41,-19,8,16,,v Ireland,Rome,03-Feb-01
Italy,lost,23,80,-57,23,33,,v England,Twickenham,17-Feb-01
Italy,lost,19,30,-11,9,14,,v France,Rome,03-Mar-01
Italy,lost,19,23,-4,10,6,,v Scotland,Murrayfield,17-Mar-01
Italy,lost,23,33,-10,12,20,,v Wales,Rome,08-Apr-01
Italy,won,49,24,25,21,3,,v Namibia,Windhoek,23-Jun-01
Italy,lost,14,60,-46,9,17,,v South Africa,Port Elizabeth,30-Jun-01
Italy,won,14,3,11,3,3,,v Uruguay,Montevideo,07-Jul-01
Italy,lost,17,38,-21,6,13,,v Argentina,Buenos Aires,14-Jul-01
Italy,won,66,10,56,31,10,,v Fiji,Treviso,10-Nov-01
Italy,lost,26,54,-28,12,21,,v South Africa,Genova,17-Nov-01
