Team,Result,For,Aga,Diff,HTf,HTa,,Opposition,Ground,Match Date
Wales,lost,0G,8G,-8G,-,-,,v England,Blackheath,19 Feb 1881
Wales,won,2G,0G,#ERROR!,-,-,,v Ireland,Lansdowne Road,28 Jan 1882
Wales,lost,0G,2G,-2G,-,-,,v England,Swansea,16 Dec 1882
Wales,lost,1G,3G,-2G,-,-,,v Scotland,Edinburgh,8 Jan 1883
Wales,lost,1G,1G,0G,-,-,,v England,Leeds,5 Jan 1884
Wales,lost,0G,1G,-1G,-,-,,v Scotland,Newport,12 Jan 1884
Wales,won,1G,0G,#ERROR!,-,-,,v Ireland,Cardiff,12 Apr 1884
Wales,lost,1G,1G,0G,-,-,,v England,Swansea,3 Jan 1885
Wales,draw,0G,0G,0G,-,-,,v Scotland,Glasgow,10 Jan 1885
Wales,lost,1G,1G,0G,-,-,,v England,Blackheath,2 Jan 1886
Wales,lost,0G,2G,-2G,-,-,,v Scotland,Cardiff,9 Jan 1886
Wales,draw,0G,0G,0G,-,-,,v England,Llanelli,8 Jan 1887
Wales,lost,0G,4G,-4G,-,-,,v Scotland,Edinburgh,26 Feb 1887
Wales,won,1G,0G,#ERROR!,-,-,,v Ireland,Birkenhead,12 Mar 1887
Wales,won,0G,0G,0G,-,-,,v Scotland,Newport,4 Feb 1888
Wales,lost,0G,2G,-2G,-,-,,v Ireland,Lansdowne Road,3 Mar 1888
Wales,won,1G,0G,#ERROR!,-,-,,v NZ Natives,Swansea,22 Dec 1888
Wales,lost,0G,0G,0G,-,-,,v Scotland,Edinburgh,2 Feb 1889
Wales,lost,0G,0G,0G,-,-,,v Ireland,Swansea,2 Mar 1889
Wales,lost,2,8,-6,0,8,,v Scotland,Cardiff,1 Feb 1890
Wales,won,1,0,1,-,-,,v England,Dewsbury,15 Feb 1890
Wales,draw,3,3,0,0,3,,v Ireland,Lansdowne Road,1 Mar 1890
Wales,lost,3,7,-4,0,4,,v England,Newport,3 Jan 1891
Wales,lost,0,15,-15,0,4,,v Scotland,Edinburgh,7 Feb 1891
Wales,won,6,4,2,6,1,,v Ireland,Llanelli,7 Mar 1891
Wales,lost,0,17,-17,0,7,,v England,Blackheath,2 Jan 1892
Wales,lost,2,7,-5,2,7,,v Scotland,Swansea,6 Feb 1892
Wales,lost,0,9,-9,0,7,,v Ireland,Lansdowne Road,5 Mar 1892
Wales,won,12,11,1,0,7,,v England,Cardiff,7 Jan 1893
Wales,won,9,0,9,-,-,,v Scotland,Edinburgh,4 Feb 1893
Wales,won,2,0,2,2,0,,v Ireland,Llanelli,11 Mar 1893
Wales,lost,3,24,-21,0,9,,v England,Birkenhead,6 Jan 1894
Wales,won,7,0,7,3,0,,v Scotland,Newport,3 Feb 1894
Wales,lost,0,3,-3,0,3,,v Ireland,Belfast,10 Mar 1894
Wales,lost,6,14,-8,3,3,,v England,Swansea,5 Jan 1895
Wales,lost,4,5,-1,-,-,,v Scotland,Edinburgh,26 Jan 1895
Wales,won,5,3,2,5,3,,v Ireland,Cardiff,16 Mar 1895
Wales,lost,0,25,-25,0,17,,v England,Blackheath,4 Jan 1896
Wales,won,6,0,6,-,-,,v Scotland,Cardiff,25 Jan 1896
Wales,lost,4,8,-4,-,-,,v Ireland,Lansdowne Road,14 Mar 1896
Wales,won,11,0,11,6,0,,v England,Newport,9 Jan 1897
Wales,won,11,3,8,5,3,,v Ireland,Limerick,19 Mar 1898
Wales,lost,7,14,-7,3,6,,v England,Blackheath,2 Apr 1898
Wales,won,26,3,23,6,0,,v England,Swansea,7 Jan 1899
Wales,lost,10,21,-11,10,3,,v Scotland,Inverleith,4 Mar 1899
Wales,lost,0,3,-3,0,3,,v Ireland,Cardiff,18 Mar 1899
Wales,won,13,3,10,5,0,,v England,Gloucester,06-Jan-00
Wales,won,12,3,9,6,3,,v Scotland,Swansea,27-Jan-00
Wales,won,3,0,3,-,-,,v Ireland,Belfast,17-Mar-00
Wales,won,13,0,13,5,0,,v England,Cardiff,05-Jan-01
Wales,lost,8,18,-10,0,10,,v Scotland,Inverleith,09-Feb-01
Wales,won,10,9,1,5,9,,v Ireland,Swansea,16-Mar-01
Wales,won,9,8,1,3,8,,v England,Blackheath,11-Jan-02
Wales,won,14,5,9,14,5,,v Scotland,Cardiff,01-Feb-02
Wales,won,15,0,15,-,-,,v Ireland,Lansdowne Road,08-Mar-02
Wales,won,21,5,16,21,0,,v England,Swansea,10-Jan-03
Wales,lost,0,6,-6,0,3,,v Scotland,Inverleith,07-Feb-03
Wales,won,18,0,18,9,0,,v Ireland,Cardiff,14-Mar-03
Wales,draw,14,14,0,0,6,,v England,Leicester,09-Jan-04
Wales,won,21,3,18,13,0,,v Scotland,Swansea,06-Feb-04
Wales,lost,12,14,-2,3,6,,v Ireland,Belfast,12-Mar-04
Wales,won,25,0,25,11,0,,v England,Cardiff,14-Jan-05
Wales,won,6,3,3,3,3,,v Scotland,Inverleith,04-Feb-05
Wales,won,10,3,7,10,3,,v Ireland,Swansea,11-Mar-05
Wales,won,3,0,3,3,0,,v New Zealand,Cardiff,16-Dec-05
Wales,won,16,3,13,13,3,,v England,Richmond,13-Jan-06
Wales,won,9,3,6,6,0,,v Scotland,Cardiff,03-Feb-06
Wales,lost,6,11,-5,3,8,,v Ireland,Belfast,10-Mar-06
Wales,lost,0,11,-11,0,6,,v South Africa,Swansea,01-Dec-06
Wales,won,22,0,22,13,0,,v England,Swansea,12-Jan-07
Wales,lost,3,6,-3,3,0,,v Scotland,Inverleith,02-Feb-07
Wales,won,29,0,29,6,0,,v Ireland,Cardiff,09-Mar-07
Wales,won,28,18,10,15,8,,v England,Bristol,18-Jan-08
Wales,won,6,5,1,3,5,,v Scotland,Swansea,01-Feb-08
Wales,won,36,4,32,17,4,,v France,Cardiff,02-Mar-08
Wales,won,11,5,6,5,5,,v Ireland,Belfast,14-Mar-08
Wales,won,9,6,3,3,3,,v Australia,Cardiff,12-Dec-08
Wales,won,8,0,8,8,0,,v England,Cardiff,16-Jan-09
Wales,won,5,3,2,-,-,,v Scotland,Inverleith,06-Feb-09
Wales,won,47,5,42,9,0,,v France,Colombes,23-Feb-09
Wales,won,18,5,13,-,-,,v Ireland,Swansea,13-Mar-09
Wales,won,49,14,35,21,14,,v France,Swansea,01-Jan-10
Wales,lost,6,11,-5,3,11,,v England,Twickenham,15-Jan-10
Wales,won,14,0,14,8,0,,v Scotland,Cardiff,05-Feb-10
Wales,won,19,3,16,3,3,,v Ireland,Lansdowne Road,12-Mar-10
Wales,won,15,11,4,6,3,,v England,Swansea,21-Jan-11
Wales,won,32,10,22,7,4,,v Scotland,Inverleith,04-Feb-11
Wales,won,15,0,15,-,-,,v France,Parc des Princes,28-Feb-11
Wales,won,16,0,16,5,0,,v Ireland,Cardiff,11-Mar-11
Wales,lost,0,8,-8,-,-,,v England,Twickenham,20-Jan-12
Wales,won,21,6,15,7,3,,v Scotland,Swansea,03-Feb-12
Wales,lost,5,12,-7,5,0,,v Ireland,Belfast,09-Mar-12
Wales,won,14,8,6,6,8,,v France,Newport,25-Mar-12
Wales,lost,0,3,-3,0,3,,v South Africa,Cardiff,14-Dec-12
Wales,lost,0,12,-12,-,-,,v England,Cardiff,18-Jan-13
